Minimum Education Breakdown,,,
,,,
Minimum Education Level,Unique Postings (minimum),Unique Postings (max advertised),% of Total (minimum)
High school or GED,"792,296",0,8%
Associate's degree,"481,075","93,242",5%
Bachelor's degree,"4,784,134","420,385",49%
Master's degree,"296,897","1,136,835",3%
Ph.D. or professional degree,"149,508","455,353",2%
