Job Postings vs. Hires,,
,,
"3,108,585.00","7,427,614.00",
Avg. Monthly Postings (Jan 2023 - Dec 2023),Avg. Monthly Hires (Jan 2023 - Dec 2023),
Occupation,Avg Monthly Postings (Jan 2023 - Dec 2023),Avg Monthly Hires (Jan 2023 - Dec 2023)
"Tool Grinders, Filers, and Sharpeners",60,306
"Rail Yard Engineers, Dinkey Operators, and Hostlers",59,102
Metal-Refining Furnace Operators and Tenders,57,652
Choreographers,56,534
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",55,641
Bailiffs,55,586
First-Line Supervisors of Correctional Officers,52,846
Plasterers and Stucco Masons,49,"1,684"
Photographic Process Workers and Processing Machine Operators,48,540
"Administrative Law Judges, Adjudicators, and Hearing Officers",47,413
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",46,"1,180"
Nuclear Technicians,46,243
"Healthcare Diagnosing or Treating Practitioners, All Other",44,996
"Insulation Workers, Mechanical",43,"1,507"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",40,430
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",39,"3,817"
Legislators,38,"1,111"
"Patternmakers, Metal and Plastic",38,97
Prosthodontists,36,26
Crematory Operators,33,177
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",32,729
Geographers,31,76
Gas Plant Operators,30,405
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",29,875
Etchers and Engravers,28,452
Elevator and Escalator Installers and Repairers,28,"1,222"
Agricultural Engineers,28,106
Cartographers and Photogrammetrists,27,410
Animal Breeders,27,144
Gambling and Sports Book Writers and Runners,26,515
Mathematicians,24,122
Shampooers,24,635
Stonemasons,23,661
"Career/Technical Education Teachers, Secondary School",23,"2,087"
Industrial-Organizational Psychologists,23,61
Gambling Surveillance Officers and Gambling Investigators,23,692
Locomotive Engineers,20,"1,453"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",19,"7,316"
Embalmers,19,173
Materials Scientists,19,303
Museum Technicians and Conservators,18,590
Gambling Managers,17,123
Desktop Publishers,17,223
Astronomers,16,125
Watch and Clock Repairers,15,106
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",14,"2,605"
"Service Unit Operators, Oil and Gas",14,"2,839"
"Cutters and Trimmers, Hand",13,407
Statistical Assistants,12,416
Motorboat Operators,12,268
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",11,925
Shoe and Leather Workers and Repairers,11,381
Nuclear Power Reactor Operators,11,121
"Career/Technical Education Teachers, Middle School",11,412
"Graders and Sorters, Agricultural Products",11,"5,080"
Floor Sanders and Finishers,10,387
Forest Fire Inspectors and Prevention Specialists,10,83
"Coil Winders, Tapers, and Finishers",10,575
Power Distributors and Dispatchers,10,198
Ship Engineers,10,855
"Entertainers and Performers, Sports and Related Workers, All Other",10,"1,498"
Fish and Game Wardens,10,192
Gambling Cage Workers,9,413
"Pressers, Textile, Garment, and Related Materials",9,"1,553"
Transit and Railroad Police,7,132
Foundry Mold and Coremakers,7,516
Log Graders and Scalers,7,176
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6,"6,893"
Wellhead Pumpers,6,"1,034"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",6,647
"Model Makers, Wood",5,47
Motion Picture Projectionists,5,473
"Cooks, Private Household",5,146
Textile Bleaching and Dyeing Machine Operators and Tenders,5,297
"Derrick Operators, Oil and Gas",5,818
"Pourers and Casters, Metal",4,242
Pile Driver Operators,4,275
Terrazzo Workers and Finishers,3,150
Signal and Track Switch Repairers,3,844
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3,"6,766"
Rail-Track Laying and Maintenance Equipment Operators,3,"1,514"
"Installation, Maintenance, and Repair Workers, All Other",3,"9,494"
Aircraft Cargo Handling Supervisors,2,488
Sociologists,2,132
Animal Scientists,2,141
"Electric Motor, Power Tool, and Related Repairers",2,906
Aerospace Engineering and Operations Technologists and Technicians,2,356
"Model Makers, Metal and Plastic",2,117
Farm Labor Contractors,2,145
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2,"1,031"
"Roof Bolters, Mining",2,83
Timing Device Assemblers and Adjusters,2,13
Septic Tank Servicers and Sewer Pipe Cleaners,2,"1,709"
Hoist and Winch Operators,2,195
"Sewers, Hand",1,160
Shoe Machine Operators and Tenders,1,214
Dredge Operators,1,86
Manufactured Building and Mobile Home Installers,1,217
Camera and Photographic Equipment Repairers,1,137
"Patternmakers, Wood",1,12
"Refractory Materials Repairers, Except Brickmasons",0,19
Gas Compressor and Gas Pumping Station Operators,0,292
"Education Administrators, All Other",0,0
"Mathematical Science Occupations, All Other",0,261
"Life Scientists, All Other",0,0
"Social Workers, All Other",0,0
"Religious Workers, All Other",0,0
"Teachers and Instructors, All Other",0,0
"Educational Instruction and Library Workers, All Other",0,0
"Designers, All Other",0,0
"Media and Communication Workers, All Other",0,0
"Media and Communication Equipment Workers, All Other",0,0
"First-Line Supervisors of Protective Service Workers, All Other",0,0
First-Line Supervisors of Personal Service Workers,0,"5,295"
"Communications Equipment Operators, All Other",0,0
"Underground Mining Machine Operators, All Other",0,0
"Extraction Workers, All Other",0,0
"Metal Workers and Plastic Workers, All Other",0,0
"Woodworkers, All Other",0,0
"Rail Transportation Workers, All Other",0,0
"Transportation Workers, All Other",0,0
